TAZ,APARKS,EMPEDU_P,EMPFOO_P,EMPGOV_P,EMPIND_P,EMPMED_P,EMPOFC_P,EMPOTH_P,EMPRET_P,EMPRSC_P,EMPSVC_P,EMPTOT_P,HH_P,LUTYPE_P,MFUNITS,NPARKS,PARKDY_P,PARKHR_P,SFUNITS,SQFT_P,STUGRD_P,STUHGH_P,STUUNI_P,a1,a2,a3,a4,a5,a6,a7,a8
24,0,5,227,0.0,70,253,61,49,61,0,75,801.0,282,1610,0,0,0,0,55,1456853,0,0,0,47.0,54.0,42.0,46.0,64.0,11.0,6.0,12.0
25,0,0,0,0.0,0,0,0,0,0,0,0,0.0,86,2213,0,0,0,0,86,938002,0,0,0,12.0,8.0,13.0,22.0,17.0,2.0,6.0,6.0
26,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0,1,8,0.0,7,18,1,1,2,0,4,42.0,0,25,0,0,0,0,0,442935,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0,0,0,0.0,0,0,0,0,0,0,0,0.0,113,2741,0,0,0,0,108,2230774,0,0,0,6.0,42.0,30.0,18.0,10.0,2.0,3.0,2.0
30,0,0,0,0.0,0,0,12,4,0,0,0,16.0,63,1469,0,0,0,0,49,766972,0,0,0,5.0,13.0,19.0,10.0,9.0,0.0,3.0,4.0
31,0,0,0,2.0,0,0,3,0,8,0,4,17.0,0,118,0,0,0,0,0,6131629,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0,0,7,0.0,0,3,11,2,11,0,4,38.0,0,205,0,0,0,0,0,454303,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0,0,13,0.0,0,4,4,1,12,0,4,38.0,0,52,0,0,0,0,0,1251274,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,26,0,0,0,0,0,824757,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0,0,0,0.0,0,0,0,0,0,0,0,0.0,1,180,0,0,0,0,1,1355976,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
36,0,0,1,1.0,1,2,9,3,3,0,3,23.0,88,3356,0,0,0,0,137,1335092,0,0,0,0.0,13.0,26.0,5.0,21.0,6.0,7.0,10.0
37,0,0,0,0.0,0,0,0,0,0,0,0,0.0,263,6845,0,0,0,0,263,4050492,0,0,0,11.0,43.0,51.0,57.0,46.0,20.0,19.0,16.0
38,0,0,9,0.0,1,11,19,2,1,0,5,48.0,333,8660,0,0,0,0,325,4489716,0,0,0,26.0,75.0,60.0,43.0,47.0,29.0,31.0,22.0
39,0,87,0,0.0,7,1,1,1,0,0,6,103.0,177,4721,0,0,0,0,192,2293525,556,0,0,24.0,30.0,43.0,41.0,23.0,7.0,8.0,1.0
40,724,4,24,0.0,11,4,24,1,32,0,37,137.0,254,3323,54,2,0,0,119,2318804,0,0,0,49.0,86.0,54.0,30.0,22.0,7.0,1.0,5.0
41,0,0,0,0.0,160,71,114,1,5,0,579,930.0,0,44,0,0,0,0,0,567858,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0,133,0,0.0,0,4,11,2,1,0,6,157.0,260,6410,0,0,0,0,262,2990249,0,0,0,30.0,55.0,38.0,25.0,50.0,28.0,20.0,14.0
43,0,140,0,0.0,6,1,6,6,0,0,1,160.0,62,1675,0,0,0,0,62,1112683,513,513,0,1.0,12.0,14.0,7.0,18.0,2.0,3.0,5.0
44,1814,22,0,0.0,8,3,16,6,1,0,2,58.0,68,93,68,2,0,0,0,263565,0,0,0,11.0,33.0,12.0,4.0,5.0,2.0,1.0,0.0
45,0,140,0,0.0,4,4,2,3,1,0,0,154.0,98,2523,0,0,0,0,101,1869881,609,921,0,7.0,19.0,14.0,15.0,23.0,9.0,7.0,4.0
46,0,0,0,0.0,0,0,0,0,0,0,0,0.0,219,5407,0,0,0,0,209,2833094,0,0,0,18.0,43.0,35.0,27.0,51.0,11.0,14.0,20.0
47,0,2,0,45.0,56,17,25,27,1,0,10,183.0,228,5569,0,0,0,0,226,2742948,0,0,0,8.0,49.0,46.0,29.0,49.0,9.0,18.0,20.0
48,0,0,436,0.0,278,2,108,2,35,0,68,929.0,326,294,0,0,0,0,0,1324638,0,0,0,113.0,175.0,11.0,20.0,5.0,2.0,0.0,0.0
49,0,0,285,0.0,151,4,74,0,24,0,44,582.0,0,1089,0,0,0,0,0,622370,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0,0,9,0.0,26,6,9,5,4,0,29,88.0,27,928,0,0,0,0,29,468401,0,0,0,3.0,4.0,4.0,7.0,5.0,0.0,3.0,1.0
51,0,2,25,0.0,31,6,27,7,47,0,56,201.0,131,941,0,0,0,0,13,832542,0,0,0,28.0,52.0,28.0,12.0,6.0,3.0,1.0,1.0
52,0,0,0,0.0,110,29,56,0,1,0,115,311.0,0,39,0,0,0,0,0,1593499,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,0,110,0,13.0,102,36,86,1,1,0,252,601.0,790,4501,610,0,0,0,180,3183962,696,0,0,253.0,181.0,73.0,22.0,119.0,33.0,62.0,47.0
54,0,0,0,0.0,59,22,25,0,0,0,109,215.0,0,72,0,0,0,0,0,294175,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,0,1,0,0.0,178,67,177,3,3,0,412,841.0,0,41,0,0,0,0,0,1287893,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,0,6,0,0.0,134,17,53,6,5,0,204,425.0,1261,3283,190,0,0,0,130,3710299,0,0,0,108.0,631.0,291.0,112.0,106.0,11.0,1.0,1.0
57,0,0,3,0.0,43,6,5,9,1,0,34,101.0,57,1376,0,0,0,0,58,803738,0,0,0,9.0,15.0,14.0,14.0,2.0,2.0,0.0,1.0
58,0,1,2,0.0,8,0,8,2,10,0,7,38.0,138,1780,4,0,0,0,71,980968,0,0,0,28.0,41.0,23.0,24.0,15.0,6.0,0.0,1.0
59,0,0,0,0.0,0,0,0,0,0,0,0,0.0,254,2524,0,0,0,0,104,1073459,0,0,0,66.0,97.0,21.0,25.0,27.0,2.0,7.0,9.0
60,0,0,15,0.0,20,9,54,7,1,0,8,114.0,41,1020,0,0,0,0,40,624828,0,0,0,3.0,8.0,6.0,3.0,7.0,2.0,8.0,4.0
61,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,0,0,0,0.0,0,0,0,0,0,0,0,0.0,1,646,0,0,0,0,1,1166769,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
63,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,0,0,346,0.0,147,2,34,1,19,0,61,610.0,0,166,0,0,0,0,0,479136,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,0,15,547,0.0,232,0,40,5,7,0,221,1067.0,0,275,0,0,0,0,0,604370,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,0,1,19,0.0,1263,9,18,16,0,0,94,1420.0,51,619,0,0,0,0,10,591013,0,0,0,10.0,19.0,11.0,4.0,5.0,0.0,2.0,0.0
67,8656,0,0,0.0,0,0,0,0,0,0,0,0.0,344,8422,0,2,0,0,341,5408723,0,0,0,34.0,58.0,72.0,48.0,61.0,16.0,21.0,34.0
68,0,3,0,0.0,14,18,11,17,6,0,0,69.0,65,1335,0,0,0,0,48,806865,0,0,0,0.0,12.0,21.0,11.0,11.0,5.0,3.0,2.0
69,0,0,0,0.0,0,0,0,0,0,0,0,0.0,121,3132,0,0,0,0,124,1814011,0,0,0,0.0,19.0,23.0,30.0,22.0,7.0,14.0,6.0
70,0,12,225,0.0,172,0,34,11,2,0,96,552.0,136,331,0,0,0,0,0,798577,0,0,0,30.0,51.0,19.0,17.0,11.0,2.0,3.0,3.0
71,0,3,122,0.0,63,0,11,0,5,0,57,261.0,0,143,0,0,0,0,0,559892,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,742,4,19,0.0,5971,13,140,38,6,0,133,6324.0,168,211,0,1,0,0,0,1226368,0,0,0,34.0,56.0,32.0,13.0,23.0,4.0,4.0,2.0
73,0,0,1,0.0,77,0,13,11,2,0,10,114.0,0,579,0,0,0,0,0,1879798,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,0,0,3,0.0,26,1,14,9,0,0,4,57.0,0,214,0,0,0,0,0,561857,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,0,1,0,0.0,25,2,11,10,0,0,5,54.0,9,396,0,0,0,0,9,1458004,0,0,0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,1.0
76,0,0,1,0.0,11,2,9,1,3,0,8,35.0,0,153,0,0,0,0,0,195469,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,0,5,30,0.0,491,0,15,4,1,0,40,586.0,0,217,0,0,0,0,0,930074,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,78,0,0,0,0,0,1363914,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,0,3,18,465.0,146,0,26,2,1,0,19,680.0,0,248,0,0,0,0,0,1933943,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,0,2,3,0.0,24,0,11,1,0,0,3,44.0,0,18,0,0,0,0,0,186192,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,0,0,0,301.0,8,3,12,1,3,0,0,328.0,44,1280,0,0,0,0,47,583239,0,0,0,0.0,6.0,10.0,8.0,13.0,0.0,3.0,4.0
83,0,0,0,0.0,0,0,0,0,0,0,0,0.0,127,2086,15,0,0,0,80,1122365,0,0,0,0.0,27.0,40.0,18.0,27.0,2.0,7.0,6.0
84,0,1,16,0.0,1263,11,28,14,1,0,110,1444.0,213,1150,11,0,0,0,41,917961,0,0,0,35.0,78.0,35.0,21.0,25.0,5.0,8.0,6.0
85,0,38,0,10.0,2,0,0,2,4,0,0,56.0,27,1097,0,0,0,0,27,1656789,0,0,0,3.0,7.0,3.0,4.0,2.0,2.0,2.0,4.0
86,0,0,0,0.0,0,0,0,0,0,0,0,0.0,124,3530,0,0,0,0,124,2722135,0,0,0,8.0,21.0,21.0,13.0,10.0,15.0,18.0,18.0
87,0,0,26,0.0,12,10,40,5,20,0,22,135.0,66,2450,0,0,0,0,89,2004162,0,0,0,2.0,6.0,19.0,12.0,19.0,1.0,3.0,4.0
88,0,0,13,0.0,122,0,12,2,1,0,20,170.0,11,1941,0,0,0,0,18,1486209,0,0,0,1.0,0.0,4.0,3.0,1.0,1.0,0.0,1.0
89,0,0,0,0.0,0,0,0,0,0,0,0,0.0,87,3509,0,0,0,0,118,1331985,0,0,0,7.0,12.0,13.0,15.0,25.0,2.0,10.0,3.0
90,0,0,0,0.0,146,0,0,1,3,0,4,154.0,0,210,0,0,0,0,0,693832,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,0,0,1,0.0,336,1,5,13,9,0,4,369.0,0,247,0,0,0,0,0,933907,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,0,0,12,0.0,27,0,5,11,12,0,20,87.0,21,711,0,0,0,0,21,839717,0,0,0,2.0,0.0,2.0,1.0,10.0,0.0,0.0,6.0
93,0,0,12,0.0,118,0,8,18,39,0,44,239.0,0,496,0,0,0,0,0,1179042,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,0,0,0,0.0,0,0,0,0,0,0,0,0.0,126,758,0,0,0,0,6,529064,0,0,0,38.0,48.0,21.0,16.0,3.0,0.0,0.0,0.0
95,0,0,8,0.0,19,91,35,11,4,0,17,185.0,219,3657,0,0,0,0,107,2391908,0,0,0,69.0,64.0,28.0,48.0,10.0,0.0,0.0,0.0
96,0,0,0,0.0,0,0,0,0,0,0,0,0.0,74,1994,0,0,0,0,82,1067606,0,0,0,0.0,6.0,19.0,17.0,20.0,4.0,4.0,4.0
97,0,0,35,0.0,43,1,16,3,3,0,13,114.0,664,274,0,0,0,0,3,1712713,0,0,0,133.0,195.0,158.0,112.0,44.0,21.0,0.0,1.0
98,0,92,50,45.0,120,8,43,4,4,0,28,394.0,63,829,0,0,0,0,29,983471,607,0,0,11.0,14.0,13.0,14.0,8.0,3.0,0.0,0.0
99,0,0,2,0.0,57,0,4,11,11,0,6,91.0,0,164,0,0,0,0,0,571852,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,0,0,0,0.0,0,0,0,0,0,0,0,0.0,90,4576,0,0,0,0,169,1520106,0,0,0,8.0,9.0,13.0,13.0,30.0,7.0,7.0,3.0
101,1843047,0,0,0.0,0,0,0,0,0,0,0,0.0,9,1001,0,1,0,0,15,3919011,0,0,0,0.0,0.0,5.0,1.0,3.0,0.0,0.0,0.0
102,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,0,0,0,0.0,10,3,4,7,2,0,5,31.0,46,908,0,0,0,0,31,1005868,0,0,0,14.0,14.0,5.0,1.0,5.0,5.0,2.0,0.0
104,0,0,0,0.0,261,1,1,8,3,0,2,276.0,29,736,0,0,0,0,29,894258,0,0,0,6.0,0.0,3.0,2.0,14.0,3.0,0.0,1.0
105,4060,0,0,0.0,0,0,0,0,0,0,0,0.0,553,199,367,1,0,0,1,4976641,0,0,0,26.0,106.0,141.0,98.0,119.0,21.0,24.0,18.0
106,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,0,58,0,0.0,0,0,0,0,0,0,0,58.0,407,10097,0,0,0,0,406,5903066,275,0,0,50.0,117.0,75.0,47.0,35.0,32.0,30.0,21.0
108,0,0,0,3.0,0,1,10,0,18,0,0,32.0,315,5774,0,0,0,0,228,2851387,0,0,0,79.0,72.0,51.0,35.0,42.0,13.0,13.0,10.0
109,0,0,7,0.0,3,15,2,45,2,0,28,102.0,240,1717,56,0,0,0,43,5949366,0,0,0,55.0,89.0,34.0,44.0,14.0,3.0,0.0,1.0
110,0,0,0,0.0,0,0,2,12,2,0,22,38.0,212,5021,0,0,0,0,191,2525237,0,0,0,0.0,47.0,40.0,39.0,31.0,15.0,13.0,27.0
111,0,61,0,0.0,0,0,0,3,0,0,0,64.0,343,8854,0,0,0,0,341,4517522,590,0,0,14.0,47.0,93.0,95.0,38.0,11.0,22.0,23.0
112,0,0,0,0.0,0,0,1,0,3,0,0,4.0,278,6970,0,0,0,0,270,3089893,0,0,0,37.0,81.0,50.0,28.0,37.0,13.0,14.0,18.0
113,0,0,0,0.0,0,0,2,31,0,0,9,42.0,54,1412,0,0,0,0,49,2933240,0,0,0,0.0,9.0,12.0,10.0,9.0,1.0,5.0,8.0
114,0,0,0,0.0,0,1,1,2,0,0,0,4.0,121,3128,0,0,0,0,107,2461873,0,0,0,0.0,25.0,30.0,14.0,18.0,7.0,8.0,19.0
115,0,1,10,0.0,0,7,12,7,26,0,10,73.0,488,1869,47,0,0,0,65,1788604,0,0,0,69.0,199.0,64.0,13.0,104.0,8.0,24.0,7.0
116,0,0,0,0.0,0,0,0,0,3,0,0,3.0,41,1330,0,0,0,0,46,854898,0,0,0,6.0,8.0,9.0,10.0,5.0,1.0,1.0,1.0
117,0,0,0,0.0,0,3,1,2,15,0,0,21.0,472,3327,36,0,0,0,102,1643769,0,0,0,169.0,154.0,71.0,42.0,16.0,8.0,9.0,3.0
118,1104,148,0,1.0,0,4,2,0,7,0,0,162.0,507,589,4,1,0,0,7,1837137,0,1142,0,67.0,153.0,107.0,93.0,39.0,14.0,13.0,21.0
119,0,0,1,0.0,0,2,1,1,10,0,0,15.0,0,55,0,0,0,0,0,362472,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,0,0,1,0.0,0,1,2,1,1,0,0,6.0,28,1132,0,0,0,0,30,1039189,0,0,0,2.0,6.0,3.0,1.0,13.0,0.0,3.0,0.0
121,0,0,0,0.0,0,0,0,0,0,0,0,0.0,45,1321,0,0,0,0,46,622605,0,0,0,0.0,8.0,8.0,15.0,3.0,3.0,3.0,5.0
122,0,0,0,0.0,0,0,0,0,0,0,0,0.0,21,797,0,0,0,0,19,571477,0,0,0,4.0,4.0,5.0,3.0,5.0,0.0,0.0,0.0
123,0,0,298,0.0,1613,2,227,8,54,0,137,2339.0,23,993,0,0,0,0,26,2733496,0,0,0,6.0,7.0,5.0,4.0,0.0,1.0,0.0,0.0
124,0,13,1,14.0,19,2,8,6,1,0,8,72.0,325,8334,0,0,0,0,335,5017278,0,0,0,16.0,38.0,50.0,49.0,83.0,19.0,31.0,39.0
125,0,37,2,0.0,28,6,19,25,7,0,12,136.0,144,4084,0,0,0,0,150,3293094,178,178,0,7.0,14.0,23.0,14.0,48.0,7.0,12.0,19.0
126,0,0,5,0.0,0,29,16,0,17,0,5,72.0,536,664,177,0,0,0,18,1632918,0,0,0,137.0,161.0,90.0,33.0,89.0,8.0,12.0,6.0
127,0,0,3,0.0,0,3,1,0,3,0,3,13.0,191,2136,96,0,0,0,71,1078087,0,0,0,34.0,56.0,39.0,20.0,25.0,2.0,8.0,7.0
128,0,0,0,0.0,0,1,7,4,6,0,3,21.0,256,6285,0,0,0,0,246,2837477,0,0,0,13.0,36.0,57.0,68.0,40.0,9.0,16.0,17.0
129,0,0,0,0.0,0,1,10,1,18,0,8,38.0,193,747,37,0,0,0,22,930888,0,0,0,29.0,51.0,49.0,40.0,19.0,1.0,1.0,3.0
130,483,20,1,0.0,1,1,0,8,4,0,6,41.0,561,14350,0,1,0,0,487,8418215,0,0,0,49.0,144.0,105.0,94.0,63.0,31.0,40.0,35.0
131,0,0,8,0.0,1,12,4,37,4,0,22,88.0,119,2171,36,0,0,0,73,1540545,0,0,0,18.0,15.0,31.0,31.0,16.0,0.0,4.0,4.0
132,0,0,0,0.0,0,0,1,2,1,0,1,5.0,378,3855,0,0,0,0,136,2255378,0,0,0,116.0,111.0,67.0,46.0,26.0,7.0,2.0,3.0
133,0,0,0,0.0,0,14,1,0,0,0,2,17.0,592,7419,0,0,0,0,262,4029286,0,0,0,152.0,169.0,117.0,66.0,56.0,7.0,13.0,12.0
134,857,78,0,0.0,0,1,2,0,7,0,0,88.0,222,5302,0,1,0,0,211,2567128,1180,0,0,58.0,52.0,39.0,23.0,25.0,4.0,15.0,6.0
135,0,0,0,0.0,0,0,0,0,0,0,0,0.0,126,3422,0,0,0,0,126,2273741,0,0,0,10.0,27.0,25.0,12.0,17.0,8.0,16.0,11.0
136,0,13,288,36.0,65,182,61,63,76,0,104,888.0,107,612,0,0,0,0,9,1041748,0,0,0,22.0,42.0,21.0,17.0,1.0,4.0,0.0,0.0
137,0,0,74,0.0,15,16,13,13,6,0,6,143.0,345,2360,0,0,0,0,83,1791874,0,0,0,144.0,103.0,41.0,32.0,16.0,6.0,1.0,2.0
138,0,0,35,0.0,9,18,11,15,14,0,18,120.0,350,2571,0,0,0,0,86,1960634,0,0,0,101.0,86.0,65.0,39.0,26.0,16.0,6.0,11.0
139,0,0,0,0.0,22,9,135,43,26,0,29,264.0,20,1002,0,0,0,0,18,1201269,0,0,0,1.0,0.0,6.0,4.0,2.0,2.0,2.0,3.0
140,0,52,0,0.0,4,9,4,13,13,0,21,116.0,380,4998,0,0,0,0,167,4094099,361,0,0,48.0,83.0,109.0,42.0,55.0,16.0,16.0,11.0
141,0,0,0,8693.0,5,1,2,6,1,0,1,8709.0,119,3776,0,0,0,0,147,2290119,0,0,0,11.0,21.0,23.0,19.0,28.0,7.0,6.0,4.0
142,0,7,29,182.0,30,226,169,85,89,0,38,855.0,208,449,0,0,0,0,10,829739,0,0,0,49.0,92.0,37.0,4.0,21.0,1.0,3.0,1.0
143,0,2,8,0.0,46,147,114,91,45,0,18,471.0,46,1381,1,0,0,0,43,2239100,0,0,0,4.0,14.0,5.0,4.0,12.0,3.0,4.0,0.0
144,0,0,1,0.0,333,76,234,306,53,0,25,1028.0,8,764,0,0,0,0,5,3388550,0,0,0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0
145,0,58,4,0.0,25,7,40,21,0,0,198,353.0,925,6665,97,0,0,0,235,5287323,536,0,0,127.0,259.0,160.0,114.0,171.0,25.0,33.0,36.0
146,0,1,0,0.0,2,0,8,2,1,0,2,16.0,240,376,0,0,0,0,2,836108,0,0,0,71.0,52.0,42.0,17.0,43.0,4.0,3.0,8.0
147,0,15,6,454.0,46,16,120,109,11,0,150,927.0,697,4010,493,0,0,0,98,6596874,40,0,0,175.0,171.0,115.0,117.0,84.0,8.0,9.0,18.0
148,0,206,3,452.0,13,136,121,63,23,0,6,1023.0,126,3811,0,0,0,0,122,3891710,633,915,0,21.0,29.0,27.0,15.0,24.0,4.0,1.0,5.0
149,0,0,0,49.0,81,24,94,138,47,0,16,449.0,147,3676,0,0,0,0,127,1620163,0,0,0,33.0,20.0,18.0,16.0,21.0,11.0,12.0,16.0
150,0,58,0,0.0,0,9,13,25,1,0,10,116.0,166,4363,0,0,0,0,173,3064879,409,0,0,18.0,46.0,45.0,17.0,23.0,4.0,2.0,11.0
151,0,0,0,9.0,11,265,173,18,0,0,18,494.0,199,2633,0,0,0,0,80,3404893,0,0,0,46.0,67.0,32.0,23.0,27.0,2.0,2.0,0.0
152,556,0,10,0.0,1,11,15,7,17,0,7,68.0,366,3413,0,1,0,0,112,2160416,0,0,0,93.0,112.0,53.0,34.0,55.0,2.0,12.0,5.0
153,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,344,0,0,0,0,0,3986523,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,790,0,0,0.0,0,0,0,0,0,0,0,0.0,8,373,0,1,0,0,9,469058,0,0,0,0.0,2.0,0.0,1.0,3.0,0.0,1.0,1.0
155,0,0,0,0.0,0,0,0,0,0,0,0,0.0,141,3878,0,0,0,0,144,2976618,0,0,0,10.0,15.0,11.0,27.0,39.0,8.0,14.0,17.0
156,0,21,172,0.0,1064,146,684,119,472,0,144,2822.0,0,653,0,0,0,0,0,3632326,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,0,13,202,459.0,67,54,166,45,341,0,129,1476.0,0,139,0,0,0,0,0,3838793,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
