TAZ,APARKS,EMPEDU_P,EMPFOO_P,EMPGOV_P,EMPIND_P,EMPMED_P,EMPOFC_P,EMPOTH_P,EMPRET_P,EMPRSC_P,EMPSVC_P,EMPTOT_P,HH_P,LUTYPE_P,MFUNITS,NPARKS,PARKDY_P,PARKHR_P,SFUNITS,SQFT_P,STUGRD_P,STUHGH_P,STUUNI_P,a1,a2,a3,a4,a5,a6,a7,a8
1,0,0,182,2623.0,4600,4,456,6,110,0,153,8134.0,1,140,0,0,0,0,1,76758755,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0,0,113,0.0,124,0,16,1,13,0,26,293.0,1,32,0,0,0,0,1,833535,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,0,99,0.0,107,0,82,1,11,0,27,327.0,0,121,0,0,0,0,0,424843,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,254,0,0,0,0,0,137396,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1021470,0,0,0.0,0,6,0,14,0,0,4,24.0,198,5357,0,8,0,0,190,4883671,0,0,0,1.0,44.0,45.0,57.0,34.0,8.0,3.0,6.0
11,0,0,0,18.0,1,0,0,4,0,0,3,26.0,204,5311,0,0,0,0,200,2885586,0,0,0,0.0,59.0,46.0,47.0,32.0,8.0,2.0,10.0
12,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,22,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0,0,0,23.0,0,0,0,1,0,0,0,24.0,169,4185,0,0,0,0,163,2402758,0,0,0,2.0,46.0,39.0,42.0,22.0,7.0,6.0,5.0
14,0,0,0,62.0,2,0,2,14,0,0,0,80.0,88,1806,0,0,0,0,74,923474,0,0,0,5.0,21.0,29.0,14.0,9.0,0.0,6.0,4.0
15,0,0,0,0.0,11,0,5,4,0,0,2,22.0,0,108,0,0,0,0,0,1065847,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0,0,0,0.0,21,1,4,4,0,0,1,31.0,0,109,0,0,0,0,0,1264204,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,1668161,0,1,0.0,7,4,15,22,0,0,7,56.0,0,183,0,6,0,0,0,2158069,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,10675,0,0,0.0,1,1,6,12,0,0,4,24.0,2,196,0,1,0,0,2,1989006,0,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
19,0,0,0,0.0,0,0,4,4,0,0,0,8.0,0,28,0,0,0,0,0,301301,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0,0,0,0.0,0,0,0,0,0,0,0,0.0,64,1766,0,0,0,0,64,1017656,0,0,0,2.0,16.0,23.0,11.0,7.0,3.0,1.0,1.0
21,0,0,2,0.0,7,0,1,4,1,0,0,15.0,281,4227,48,0,0,0,158,2673809,0,0,0,40.0,81.0,79.0,67.0,9.0,2.0,1.0,2.0
22,0,0,0,0.0,0,0,0,0,0,0,0,0.0,43,1359,0,0,0,0,44,1167211,0,0,0,5.0,12.0,12.0,12.0,1.0,1.0,0.0,0.0
23,0,0,29,0.0,44,79,21,19,20,0,20,232.0,36,1404,0,0,0,0,36,1456737,0,0,0,2.0,1.0,4.0,8.0,9.0,1.0,5.0,6.0
