nights,purp0_perc,purp1_perc,purp2_perc,purp3_perc,purp4_perc,purp5_perc
0,0.07312712318970141,0.009984943339408829,0.07312712318970141,0.009984943339408829,1,1
1,0.14089039871267656,0.022149140185434662,0.14089039871267656,0.022149140185434662,0,0
2,0.2016210739614995,0.16102702274348205,0.2016210739614995,0.16102702274348205,0,0
3,0.16329936229811073,0.11819478564070053,0.16329936229811073,0.11819478564070053,0,0
4,0.14112879194230885,0.11201363024011411,0.14112879194230885,0.11201363024011411,0,0
5,0.0700280112044818,0.1496156589270148,0.0700280112044818,0.1496156589270148,0,0
6,0.02473329757434889,0.04988509390601474,0.02473329757434889,0.04988509390601474,0,0
7,0.039036891352285594,0.08257389650526983,0.039036891352285594,0.08257389650526983,0,0
8,0.01245604624828655,0.02793406767572708,0.01245604624828655,0.02793406767572708,0,0
9,0.011085285177900948,0.02107932482764086,0.011085285177900948,0.02107932482764086,0,0
10,0.01525716669646582,0.030786908629843887,0.01525716669646582,0.030786908629843887,0,0
11,0.0006555813814887657,0.0017037800142642048,0.0006555813814887657,0.0017037800142642048,0,0
12,0.014303593777936706,0.030628417465726285,0.014303593777936706,0.030628417465726285,0,0
13,0.0032779069074438285,0.0071717251763214205,0.0032779069074438285,0.0071717251763214205,0,0
14,0.08909946957506407,0.1752516047230367,0.08909946957506407,0.1752516047230367,0,0
