Period,purp0_perc,purp1_perc,purp2_perc,purp3_perc,purp4_perc,purp5_perc
1,0.011232378378235135,0.011232378378235135,0.011232378378235135,0.011232378378235135,0.011232378378235135,0.011232378378235135
2,0.01429796488318786,0.01429796488318786,0.01429796488318786,0.01429796488318786,0.01429796488318786,0.01429796488318786
3,0.017453549486508187,0.017453549486508187,0.017453549486508187,0.017453549486508187,0.017453549486508187,0.017453549486508187
4,0.020508045584754366,0.020508045584754366,0.020508045584754366,0.020508045584754366,0.020508045584754366,0.020508045584754366
5,0.02329101232461853,0.02329101232461853,0.02329101232461853,0.02329101232461853,0.02329101232461853,0.02329101232461853
6,0.025681610183962398,0.025681610183962398,0.025681610183962398,0.025681610183962398,0.025681610183962398,0.025681610183962398
7,0.02762332359679608,0.02762332359679608,0.02762332359679608,0.02762332359679608,0.02762332359679608,0.02762332359679608
8,0.029121101410852442,0.029121101410852442,0.029121101410852442,0.029121101410852442,0.029121101410852442,0.029121101410852442
9,0.030223603388375122,0.030223603388375122,0.030223603388375122,0.030223603388375122,0.030223603388375122,0.030223603388375122
10,0.03099798700480334,0.03099798700480334,0.03099798700480334,0.03099798700480334,0.03099798700480334,0.03099798700480334
11,0.03150637128873377,0.03150637128873377,0.03150637128873377,0.03150637128873377,0.03150637128873377,0.03150637128873377
12,0.03179134084636379,0.03179134084636379,0.03179134084636379,0.03179134084636379,0.03179134084636379,0.03179134084636379
13,0.031873593245705635,0.031873593245705635,0.031873593245705635,0.031873593245705635,0.031873593245705635,0.031873593245705635
14,0.03175995499202564,0.03175995499202564,0.03175995499202564,0.03175995499202564,0.03175995499202564,0.03175995499202564
15,0.03145637969946358,0.03145637969946358,0.03145637969946358,0.03145637969946358,0.03145637969946358,0.03145637969946358
16,0.03097938826301997,0.03097938826301997,0.03097938826301997,0.03097938826301997,0.03097938826301997,0.03097938826301997
17,0.030360911507481825,0.030360911507481825,0.030360911507481825,0.030360911507481825,0.030360911507481825,0.030360911507481825
18,0.029644890797678052,0.029644890797678052,0.029644890797678052,0.029644890797678052,0.029644890797678052,0.029644890797678052
19,0.028877816467930365,0.028877816467930365,0.028877816467930365,0.028877816467930365,0.028877816467930365,0.028877816467930365
20,0.02809795850151899,0.02809795850151899,0.02809795850151899,0.02809795850151899,0.02809795850151899,0.02809795850151899
21,0.027328211569367118,0.027328211569367118,0.027328211569367118,0.027328211569367118,0.027328211569367118,0.027328211569367118
22,0.026575276408904388,0.026575276408904388,0.026575276408904388,0.026575276408904388,0.026575276408904388,0.026575276408904388
23,0.02583464477791011,0.02583464477791011,0.02583464477791011,0.02583464477791011,0.02583464477791011,0.02583464477791011
24,0.02509837144327362,0.02509837144327362,0.02509837144327362,0.02509837144327362,0.02509837144327362,0.02509837144327362
25,0.02436207588232971,0.02436207588232971,0.02436207588232971,0.02436207588232971,0.02436207588232971,0.02436207588232971
26,0.023628833310152697,0.023628833310152697,0.023628833310152697,0.023628833310152697,0.023628833310152697,0.023628833310152697
27,0.02290936907551334,0.02290936907551334,0.02290936907551334,0.02290936907551334,0.02290936907551334,0.02290936907551334
28,0.02221907853553002,0.02221907853553002,0.02221907853553002,0.02221907853553002,0.02221907853553002,0.02221907853553002
29,0.021572611146973286,0.021572611146973286,0.021572611146973286,0.021572611146973286,0.021572611146973286,0.021572611146973286
30,0.020976756035630886,0.020976756035630886,0.020976756035630886,0.020976756035630886,0.020976756035630886,0.020976756035630886
31,0.020422887527707097,0.020422887527707097,0.020422887527707097,0.020422887527707097,0.020422887527707097,0.020422887527707097
32,0.0198812388593499,0.0198812388593499,0.0198812388593499,0.0198812388593499,0.0198812388593499,0.0198812388593499
33,0.01929991121272854,0.01929991121272854,0.01929991121272854,0.01929991121272854,0.01929991121272854,0.01929991121272854
34,0.01861085965037656,0.01861085965037656,0.01861085965037656,0.01861085965037656,0.01861085965037656,0.01861085965037656
35,0.017742961204767326,0.017742961204767326,0.017742961204767326,0.017742961204767326,0.017742961204767326,0.017742961204767326
36,0.016639483522774317,0.016639483522774317,0.016639483522774317,0.016639483522774317,0.016639483522774317,0.016639483522774317
37,0.015275131945828607,0.015275131945828607,0.015275131945828607,0.015275131945828607,0.015275131945828607,0.015275131945828607
38,0.013667364555201428,0.013667364555201428,0.013667364555201428,0.013667364555201428,0.013667364555201428,0.013667364555201428
39,0.01187806258023103,0.01187806258023103,0.01187806258023103,0.01187806258023103,0.01187806258023103,0.01187806258023103
40,0.010004399234929321,0.010004399234929321,0.010004399234929321,0.010004399234929321,0.010004399234929321,0.010004399234929321
41,0.008160911463496116,0.008160911463496116,0.008160911463496116,0.008160911463496116,0.008160911463496116,0.008160911463496116
42,0.006457359808063998,0.006457359808063998,0.006457359808063998,0.006457359808063998,0.006457359808063998,0.006457359808063998
43,0.004978208799126976,0.004978208799126976,0.004978208799126976,0.004978208799126976,0.004978208799126976,0.004978208799126976
44,0.0037690940071682137,0.0037690940071682137,0.0037690940071682137,0.0037690940071682137,0.0037690940071682137,0.0037690940071682137
45,0.002833537449754011,0.002833537449754011,0.002833537449754011,0.002833537449754011,0.002833537449754011,0.002833537449754011
46,0.0021400108841414618,0.0021400108841414618,0.0021400108841414618,0.0021400108841414618,0.0021400108841414618,0.0021400108841414618
47,0.0016362502580324443,0.0016362502580324443,0.0016362502580324443,0.0016362502580324443,0.0016362502580324443,0.0016362502580324443
48,0.0012656720811716209,0.0012656720811716209,0.0012656720811716209,0.0012656720811716209,0.0012656720811716209,0.0012656720811716209
