income,purp0_perc,purp1_perc,purp2_perc,purp3_perc,purp4_perc,purp5_perc
0,0.03275379305854008,0.11018493213081898,0.06801592568015925,0.16791762297624216,1,1
1,0.05320049488832454,0.11064042998997904,0.12350696748506967,0.13938341293964393,0,0
2,0.1138243146447874,0.13519176459870638,0.1431652289316523,0.1455554866323429,0,0
3,0.14397343231099824,0.14648811150587593,0.12914731254147313,0.13569257490230135,0,0
4,0.12600117210392656,0.09082627311651635,0.10127737226277372,0.08448607406488431,0,0
5,0.15204792602721887,0.11228022228295527,0.15593895155938953,0.07375472985546802,0,0
6,0.29335156606107965,0.14662476086362394,0.19973457199734573,0.08963463804974878,0,0
7,0.0848473009051247,0.1477635055115241,0.0792136695421367,0.16357546057936853,0,0
