party,purp0_perc,purp1_perc,purp2_perc,purp3_perc,purp4_perc,purp5_perc
0,0.0,0.0,0.0,0.0,0,0
1,0.8764,0.5452,0.8584,0.6712,1,1
2,0.0801,0.3676,0.0862,0.2758,0,0
3,0.0225,0.0433,0.0397,0.0371,0,0
4,0.0067,0.0265,0.0062,0.0077,0,0
5,0.0142,0.0174,0.0096,0.0082,0,0
