Corr-Dir,i,j,ID,Dir,Order
1.1,80332,80855,80332-80855,EB,1
1.1,80855,83106,80855-83106,EB,2
1.1,83106,84464,83106-84464,EB,3
1.1,84464,85155,84464-85155,EB,4
1.1,85155,86395,85155-86395,EB,5
1.1,86395,87422,86395-87422,EB,6
1.1,87422,88036,87422-88036,EB,7
1.2,88036,87422,88036-87422,WB,1
1.2,87422,86395,87422-86395,WB,2
1.2,86395,85155,86395-85155,WB,3
1.2,85155,84464,85155-84464,WB,4
1.2,84464,83106,84464-83106,WB,5
1.2,83106,80855,83106-80855,WB,6
1.2,80855,80332,80855-80332,WB,7
2.1,73064,73202,73064-73202,NB,1
2.1,73202,73288,73202-73288,NB,2
2.1,73288,73305,73288-73305,NB,3
2.1,73305,73309,73305-73309,NB,4
2.1,73309,73331,73309-73331,NB,5
2.1,73331,73937,73331-73937,NB,6
2.1,73937,75020,73937-75020,NB,7
2.1,75020,75085,75020-75085,NB,8
2.1,75085,75256,75085-75256,NB,9
2.1,75256,75280,75256-75280,NB,10
2.1,75280,198377,75280-198377,NB,11
2.1,198377,75927,198377-75927,NB,12
2.1,75927,76248,75927-76248,NB,13
2.1,76248,76876,76248-76876,NB,14
2.1,76876,77959,76876-77959,NB,15
2.1,77959,78007,77959-78007,NB,16
2.1,78007,78034,78007-78034,NB,17
2.1,78034,78382,78034-78382,NB,18
2.1,78382,78600,78382-78600,NB,19
2.1,78600,78770,78600-78770,NB,20
2.1,78770,78826,78770-78826,NB,21
2.1,78826,78873,78826-78873,NB,22
2.1,78873,79069,78873-79069,NB,23
2.1,79069,79295,79069-79295,NB,24
2.1,79295,80210,79295-80210,NB,25
2.1,80210,80322,80210-80322,NB,26
2.2,80322,80210,80322-80210,NB,1
2.2,80210,79295,80210-79295,SB,2
2.2,79295,79069,79295-79069,SB,3
2.2,79069,78873,79069-78873,SB,4
2.2,78873,78826,78873-78826,SB,5
2.2,78826,78770,78826-78770,SB,6
2.2,78770,78600,78770-78600,SB,7
2.2,78600,78382,78600-78382,SB,8
2.2,78382,78034,78382-78034,SB,9
2.2,78034,78007,78034-78007,SB,10
2.2,78007,77959,78007-77959,SB,11
2.2,77959,76876,77959-76876,SB,12
2.2,76876,76248,76876-76248,SB,13
2.2,76248,75927,76248-75927,SB,14
2.2,75927,198377,75927-198377,SB,15
2.2,198377,75280,198377-75280,SB,16
2.2,75280,75256,75280-75256,SB,17
2.2,75256,75085,75256-75085,SB,18
2.2,75085,75020,75085-75020,SB,19
2.2,75020,73937,75020-73937,SB,20
2.2,73937,73331,73937-73331,SB,21
2.2,73331,73309,73331-73309,SB,22
2.2,73309,73305,73309-73305,SB,23
2.2,73305,73288,73305-73288,SB,24
2.2,73288,73202,73288-73202,SB,25
2.2,73202,73064,73202-73064,SB,26
3.1,92388,92189,92388-92189,NB,1
3.1,92189,92066,92189-92066,NB,2
3.1,92066,91833,92066-91833,NB,3
3.1,91833,91248,91833-91248,NB,4
