taz_p,rg_proposed
1,Core Cities
2,Core Cities
3,Core Cities
4,Core Cities
5,Core Cities
6,Core Cities
7,Core Cities
8,Core Cities
9,Core Cities
10,Core Cities
11,Core Cities
12,Core Cities
13,Core Cities
14,Core Cities
15,Core Cities
16,Core Cities
17,Core Cities
18,Core Cities
19,Core Cities
20,Core Cities
21,Core Cities
22,Core Cities
23,Core Cities
24,Core Cities
25,Core Cities
26,Core Cities
27,Core Cities
28,Core Cities
29,Core Cities
30,Core Cities
31,Core Cities
32,Core Cities
33,Core Cities
34,Core Cities
35,Core Cities
36,Core Cities
37,Core Cities
38,Core Cities
39,Core Cities
40,Core Cities
41,Core Cities
42,Core Cities
43,Core Cities
44,Core Cities
45,Core Cities
46,Core Cities
47,Core Cities
48,Core Cities
49,Core Cities
50,Core Cities
51,Core Cities
52,Core Cities
53,Core Cities
54,Core Cities
55,Core Cities
56,Core Cities
57,Core Cities
58,Core Cities
59,Core Cities
60,Core Cities
61,Core Cities
62,Core Cities
63,Core Cities
64,Core Cities
65,Core Cities
66,Core Cities
67,Core Cities
68,Core Cities
69,Core Cities
70,Core Cities
71,Core Cities
72,Core Cities
73,Core Cities
74,Core Cities
75,Core Cities
76,Core Cities
77,Core Cities
78,Core Cities
79,Core Cities
80,Core Cities
81,Core Cities
82,Core Cities
83,Core Cities
84,Core Cities
85,Core Cities
86,Core Cities
87,Core Cities
88,Core Cities
89,Core Cities
90,Core Cities
91,Core Cities
92,Core Cities
93,Core Cities
94,Core Cities
95,Core Cities
96,Core Cities
97,Core Cities
98,Core Cities
99,Core Cities
100,Core Cities
101,Core Cities
102,Core Cities
103,Core Cities
104,Core Cities
105,Core Cities
106,Core Cities
107,Core Cities
108,Core Cities
109,Core Cities
110,Core Cities
111,Core Cities
112,Core Cities
113,Core Cities
114,Core Cities
115,Core Cities
116,Core Cities
117,Core Cities
118,Core Cities
119,Core Cities
120,Core Cities
121,Core Cities
122,Core Cities
123,Core Cities
124,Core Cities
125,Core Cities
126,Core Cities
127,Core Cities
128,Core Cities
129,Core Cities
130,Core Cities
131,Core Cities
132,Core Cities
133,Core Cities
134,Core Cities
135,Core Cities
136,Core Cities
137,Core Cities
138,Core Cities
139,Core Cities
140,Core Cities
141,Core Cities
142,Core Cities
143,Core Cities
144,Core Cities
145,Core Cities
146,Core Cities
147,Core Cities
148,Core Cities
149,Core Cities
150,Core Cities
151,Core Cities
152,Core Cities
153,Core Cities
154,Core Cities
155,Core Cities
156,Core Cities
157,Core Cities
158,Core Cities
159,Core Cities
160,Core Cities
161,Core Cities
162,Core Cities
163,Core Cities
164,Core Cities
165,Core Cities
166,Core Cities
167,Core Cities
168,Core Cities
169,Core Cities
170,Core Cities
171,Core Cities
172,Core Cities
173,Core Cities
174,Core Cities
175,Core Cities
176,Core Cities
177,Core Cities
178,Core Cities
179,HCT Communities
180,HCT Communities
181,HCT Communities
182,Core Cities
183,HCT Communities
184,HCT Communities
185,HCT Communities
186,HCT Communities
187,HCT Communities
188,HCT Communities
189,HCT Communities
190,HCT Communities
191,HCT Communities
192,HCT Communities
193,HCT Communities
194,HCT Communities
195,HCT Communities
196,HCT Communities
197,HCT Communities
198,HCT Communities
199,HCT Communities
200,HCT Communities
201,HCT Communities
202,HCT Communities
203,HCT Communities
204,Core Cities
205,HCT Communities
206,HCT Communities
207,HCT Communities
208,HCT Communities
209,HCT Communities
210,HCT Communities
211,Metropolitan Cities
212,Metropolitan Cities
213,Metropolitan Cities
214,Metropolitan Cities
215,Metropolitan Cities
216,Metropolitan Cities
217,Metropolitan Cities
218,Metropolitan Cities
219,Metropolitan Cities
220,Metropolitan Cities
221,Metropolitan Cities
222,Metropolitan Cities
223,Metropolitan Cities
224,Metropolitan Cities
225,Metropolitan Cities
226,Metropolitan Cities
227,Metropolitan Cities
228,Metropolitan Cities
229,Metropolitan Cities
230,Metropolitan Cities
231,Metropolitan Cities
232,Metropolitan Cities
233,Metropolitan Cities
234,Metropolitan Cities
235,Metropolitan Cities
236,Metropolitan Cities
237,Metropolitan Cities
238,Metropolitan Cities
239,Metropolitan Cities
240,Metropolitan Cities
241,Metropolitan Cities
242,Metropolitan Cities
243,Metropolitan Cities
244,Metropolitan Cities
245,Metropolitan Cities
246,Metropolitan Cities
247,Metropolitan Cities
248,Metropolitan Cities
249,Metropolitan Cities
250,Metropolitan Cities
251,Metropolitan Cities
252,Metropolitan Cities
253,Metropolitan Cities
254,Metropolitan Cities
255,Metropolitan Cities
256,Metropolitan Cities
257,Metropolitan Cities
258,Metropolitan Cities
259,Metropolitan Cities
260,Metropolitan Cities
261,Metropolitan Cities
262,Metropolitan Cities
263,Metropolitan Cities
264,Metropolitan Cities
265,Metropolitan Cities
266,Metropolitan Cities
267,Metropolitan Cities
268,Metropolitan Cities
269,Metropolitan Cities
270,Metropolitan Cities
271,Metropolitan Cities
272,Metropolitan Cities
273,Metropolitan Cities
274,Metropolitan Cities
275,Metropolitan Cities
276,Metropolitan Cities
277,Metropolitan Cities
278,Metropolitan Cities
279,Metropolitan Cities
280,Metropolitan Cities
281,Metropolitan Cities
282,Metropolitan Cities
283,Metropolitan Cities
284,Metropolitan Cities
285,Metropolitan Cities
286,Metropolitan Cities
287,Metropolitan Cities
288,Metropolitan Cities
289,Metropolitan Cities
290,Metropolitan Cities
291,Metropolitan Cities
292,Metropolitan Cities
293,Metropolitan Cities
294,Metropolitan Cities
295,Metropolitan Cities
296,Metropolitan Cities
297,Metropolitan Cities
298,Metropolitan Cities
299,Metropolitan Cities
300,Metropolitan Cities
301,Metropolitan Cities
302,Metropolitan Cities
303,Metropolitan Cities
304,Metropolitan Cities
305,Metropolitan Cities
306,Metropolitan Cities
307,Metropolitan Cities
308,Metropolitan Cities
309,Metropolitan Cities
310,Metropolitan Cities
311,Metropolitan Cities
312,Metropolitan Cities
313,Metropolitan Cities
314,Metropolitan Cities
315,Metropolitan Cities
316,Metropolitan Cities
317,Metropolitan Cities
318,Metropolitan Cities
319,Metropolitan Cities
320,Metropolitan Cities
321,Metropolitan Cities
322,Metropolitan Cities
323,Metropolitan Cities
324,Metropolitan Cities
325,Metropolitan Cities
326,Metropolitan Cities
327,Metropolitan Cities
