ENS,TAZ
gz29,1.0
gz29,2.0
gz29,3.0
gz29,4.0
gz29,5.0
gz29,6.0
gz29,7.0
gz29,8.0
gz29,9.0
gz0,10.0
gz0,11.0
gz29,12.0
gz0,13.0
gz0,14.0
gz0,15.0
gz0,16.0
gz0,17.0
gz0,18.0
gz0,19.0
gz0,20.0
gz0,21.0
gz0,22.0
gz0,23.0
gz0,24.0
gz0,25.0
gz29,26.0
gz0,27.0
gz0,28.0
gz0,29.0
gz0,30.0
gz0,31.0
gz0,32.0
gz0,33.0
gz0,34.0
gz0,35.0
gz30,36.0
gz30,37.0
gz30,38.0
gz29,39.0
gz29,40.0
gz29,41.0
gz29,42.0
gz29,43.0
gz29,44.0
gz29,45.0
gz29,46.0
gz29,47.0
gz29,48.0
gz29,49.0
gz29,50.0
gz29,51.0
gz29,52.0
gz29,53.0
gz29,54.0
gz29,55.0
gz29,56.0
gz29,57.0
gz29,58.0
gz29,59.0
gz30,60.0
gz30,61.0
gz30,62.0
gz30,63.0
gz29,64.0
gz29,65.0
gz30,66.0
gz30,67.0
gz30,68.0
gz30,69.0
gz29,70.0
gz29,71.0
gz30,72.0
gz29,73.0
gz0,74.0
gz0,75.0
gz0,76.0
gz29,77.0
gz29,78.0
gz29,79.0
gz29,80.0
gz29,81.0
gz30,82.0
gz30,83.0
gz30,84.0
gz0,85.0
gz0,86.0
gz30,87.0
gz29,88.0
gz29,89.0
gz29,90.0
gz29,91.0
gz29,92.0
gz29,93.0
gz30,94.0
gz30,95.0
gz30,96.0
gz30,97.0
gz30,98.0
gz29,99.0
gz29,100.0
gz29,101.0
gz29,102.0
gz0,103.0
gz29,104.0
gz30,105.0
gz30,106.0
gz0,107.0
gz0,108.0
gz0,109.0
gz0,110.0
gz0,111.0
gz0,112.0
gz0,113.0
gz0,114.0
gz0,115.0
gz0,116.0
gz0,117.0
gz0,118.0
gz0,119.0
gz0,120.0
gz0,121.0
gz0,122.0
gz0,123.0
gz0,124.0
gz0,125.0
gz0,126.0
gz0,127.0
gz0,128.0
gz0,129.0
gz0,130.0
gz0,131.0
gz0,132.0
gz0,133.0
gz0,134.0
gz30,135.0
gz0,136.0
gz30,137.0
gz30,138.0
gz30,139.0
gz30,140.0
gz30,141.0
gz0,142.0
gz0,143.0
gz0,144.0
gz0,145.0
gz30,146.0
gz0,147.0
gz0,148.0
gz0,149.0
gz0,150.0
gz0,151.0
gz0,152.0
gz30,153.0
gz30,154.0
gz30,155.0
gz30,156.0
gz30,157.0
gz30,158.0
gz30,159.0
gz30,160.0
gz30,161.0
gz30,162.0
gz30,163.0
gz0,164.0
gz30,165.0
gz30,166.0
gz30,167.0
gz30,168.0
gz0,169.0
gz0,170.0
gz0,171.0
gz30,172.0
gz30,173.0
gz0,174.0
gz30,175.0
gz0,176.0
gz0,177.0
gz29,178.0
gz0,179.0
gz0,180.0
gz0,181.0
gz0,182.0
gz29,183.0
gz29,184.0
gz0,185.0
gz29,186.0
gz0,187.0
gz0,188.0
gz0,189.0
gz0,190.0
gz0,191.0
gz0,192.0
gz29,193.0
gz0,194.0
gz0,195.0
gz0,196.0
gz0,197.0
gz0,198.0
gz0,199.0
gz0,200.0
gz0,201.0
gz0,202.0
gz0,203.0
gz29,204.0
gz0,205.0
gz0,206.0
gz0,207.0
gz0,208.0
gz0,209.0
gz0,210.0
gz0,211.0
gz0,212.0
gz0,213.0
gz20,214.0
gz0,215.0
gz0,216.0
gz0,217.0
gz0,218.0
gz0,219.0
gz0,220.0
gz0,221.0
gz0,222.0
gz0,223.0
gz0,224.0
gz0,225.0
gz20,225.0
gz20,226.0
gz20,227.0
gz0,228.0
gz0,229.0
gz0,230.0
gz0,231.0
gz0,232.0
gz20,232.0
gz20,233.0
gz0,234.0
gz0,235.0
gz0,236.0
gz0,237.0
gz0,238.0
gz0,239.0
gz0,240.0
gz0,241.0
gz0,242.0
gz0,243.0
gz0,244.0
gz0,245.0
gz0,246.0
gz0,247.0
gz0,248.0
gz0,249.0
gz0,250.0
gz0,251.0
gz0,252.0
gz0,253.0
gz0,254.0
gz0,255.0
gz0,256.0
gz0,257.0
gz0,258.0
gz0,259.0
gz0,260.0
gz0,261.0
gz0,262.0
gz0,263.0
gz0,264.0
gz0,265.0
gz0,266.0
gz0,267.0
gz0,268.0
gz0,269.0
gz0,270.0
gz0,271.0
gz0,272.0
gz0,273.0
gz0,274.0
gz0,275.0
gz0,276.0
gz0,277.0
gz0,278.0
gz0,279.0
gz0,280.0
gz0,281.0
gz0,282.0
gz0,283.0
gz0,284.0
gz0,285.0
gz0,286.0
gz0,287.0
gz0,288.0
gz0,289.0
gz0,290.0
gz0,291.0
gz0,292.0
gz0,293.0
gz0,294.0
gz0,295.0
gz0,296.0
gz0,297.0
gz0,298.0
gz0,299.0
gz0,300.0
gz0,301.0
gz0,302.0
gz0,303.0
gz0,304.0
gz0,305.0
gz0,306.0
gz0,307.0
gz0,308.0
gz0,309.0
gz0,310.0
gz0,311.0
gz0,312.0
gz0,313.0
gz0,314.0
gz0,315.0
gz0,316.0
gz0,317.0
gz0,318.0
gz0,319.0
gz0,320.0
gz0,321.0
gz0,322.0
gz0,323.0
gz0,324.0
gz0,325.0
gz0,326.0
gz0,327.0
gz0,328.0
gz0,329.0
gz0,330.0
gz0,331.0
gz0,332.0
gz0,333.0
gz0,334.0
gz0,335.0
gz0,336.0
gz0,337.0
gz0,338.0
gz0,339.0
gz0,340.0
gz0,341.0
gz0,342.0
gz0,343.0
gz0,344.0
gz0,345.0
gz0,346.0
gz0,347.0
gz0,348.0
gz0,349.0
gz0,350.0
gz0,351.0
gz0,352.0
gz0,353.0
gz0,354.0
gz0,355.0
gz0,356.0
gz0,357.0
gz0,358.0
gz0,359.0
gz0,360.0
gz0,361.0
gz0,362.0
gz0,363.0
gz0,364.0
gz0,365.0
gz0,366.0
gz0,367.0
gz0,368.0
gz0,369.0
gz0,370.0
gz0,371.0
gz0,372.0
gz0,373.0
gz0,374.0
gz0,375.0
gz0,376.0
gz0,377.0
gz0,378.0
gz0,379.0
gz0,380.0
gz0,381.0
gz0,382.0
gz0,383.0
gz0,384.0
gz0,385.0
gz0,386.0
gz0,387.0
gz0,388.0
gz0,389.0
gz0,390.0
gz0,391.0
gz0,392.0
gz0,393.0
gz0,394.0
gz0,395.0
gz0,396.0
gz0,397.0
gz0,398.0
gz0,399.0
gz0,400.0
gz0,401.0
gz0,402.0
gz0,403.0
gz0,404.0
gz0,405.0
gz0,406.0
gz0,407.0
gz0,408.0
gz0,409.0
gz0,410.0
gz0,411.0
gz0,412.0
gz5,413.0
gz5,414.0
gz5,415.0
gz5,416.0
gz0,417.0
gz5,418.0
gz5,419.0
gz5,420.0
gz5,421.0
gz5,422.0
gz5,423.0
gz0,424.0
gz0,425.0
