taz,lat,lon,center
834,47.56812651,-122.3669494,Duwamish
841,47.56908147,-122.3244897,Duwamish
839,47.56943698,-122.3367663,Duwamish
840,47.56945608,-122.3316432,Duwamish
806,47.57358118,-122.3367621,Duwamish
807,47.57521411,-122.3411181,Duwamish
804,47.57567873,-122.3246561,Duwamish
805,47.57568505,-122.3316255,Duwamish
809,47.57770114,-122.3659956,Duwamish
808,47.57964387,-122.3514401,Duwamish
789,47.58078921,-122.3367354,Duwamish
791,47.582664,-122.324241,Duwamish
790,47.58296159,-122.3316255,Duwamish
788,47.5856368,-122.3406874,Duwamish
786,47.5882274,-122.3316079,Duwamish
787,47.58868085,-122.336025,Duwamish
784,47.58939177,-122.3247647,Duwamish
785,47.59135395,-122.3315884,Duwamish
768,47.59394988,-122.3262475,Duwamish
769,47.59468138,-122.3233448,Duwamish
767,47.5948158,-122.3381217,Duwamish
766,47.59573536,-122.3348792,Duwamish
578,47.62245268,-122.3646754,Ballard-Interbay
528,47.62883088,-122.3745132,Ballard-Interbay
524,47.63474539,-122.3836407,Ballard-Interbay
476,47.65197127,-122.3802632,Ballard-Interbay
470,47.65460546,-122.3693519,Ballard-Interbay
463,47.65638785,-122.3637439,Ballard-Interbay
469,47.65846911,-122.3851057,Ballard-Interbay
464,47.66033337,-122.3684599,Ballard-Interbay
393,47.6618627,-122.3731328,Ballard-Interbay
395,47.66357635,-122.3679412,Ballard-Interbay
391,47.66372398,-122.3793843,Ballard-Interbay
389,47.6640398,-122.3828961,Ballard-Interbay
392,47.66615675,-122.3734914,Ballard-Interbay
387,47.66766665,-122.3898314,Ballard-Interbay
2015,47.89410128,-122.2579154,Paine Field / Boeing Everett
2016,47.90619306,-122.2809828,Paine Field / Boeing Everett
2014,47.91456895,-122.2653254,Paine Field / Boeing Everett
1985,47.93144972,-122.2549986,Paine Field / Boeing Everett
1985,47.93353519,-122.2774941,Paine Field / Boeing Everett
1987,47.9385288,-122.246513,Paine Field / Boeing Everett
1985,47.94658706,-122.2658844,Paine Field / Boeing Everett
