TAZ,TAD,OldDistric,County,District,New DistrictName
1.0,22.0,6.0,King,7,Renton-FedWay-Kent
2.0,22.0,6.0,King,7,Renton-FedWay-Kent
3.0,22.0,6.0,King,7,Renton-FedWay-Kent
4.0,22.0,6.0,King,7,Renton-FedWay-Kent
5.0,22.0,6.0,King,7,Renton-FedWay-Kent
6.0,22.0,6.0,King,7,Renton-FedWay-Kent
7.0,22.0,6.0,King,7,Renton-FedWay-Kent
8.0,22.0,6.0,King,7,Renton-FedWay-Kent
9.0,22.0,6.0,King,7,Renton-FedWay-Kent
10.0,22.0,6.0,King,7,Renton-FedWay-Kent
11.0,22.0,6.0,King,7,Renton-FedWay-Kent
12.0,22.0,6.0,King,7,Renton-FedWay-Kent
13.0,22.0,6.0,King,7,Renton-FedWay-Kent
14.0,22.0,6.0,King,7,Renton-FedWay-Kent
15.0,22.0,6.0,King,7,Renton-FedWay-Kent
16.0,22.0,6.0,King,7,Renton-FedWay-Kent
17.0,22.0,6.0,King,7,Renton-FedWay-Kent
18.0,22.0,6.0,King,7,Renton-FedWay-Kent
19.0,22.0,6.0,King,7,Renton-FedWay-Kent
20.0,22.0,6.0,King,7,Renton-FedWay-Kent
21.0,22.0,6.0,King,7,Renton-FedWay-Kent
22.0,22.0,6.0,King,7,Renton-FedWay-Kent
23.0,22.0,6.0,King,7,Renton-FedWay-Kent
24.0,22.0,6.0,King,7,Renton-FedWay-Kent
25.0,22.0,6.0,King,7,Renton-FedWay-Kent
26.0,22.0,6.0,King,7,Renton-FedWay-Kent
27.0,22.0,6.0,King,7,Renton-FedWay-Kent
28.0,22.0,6.0,King,7,Renton-FedWay-Kent
29.0,22.0,6.0,King,7,Renton-FedWay-Kent
30.0,22.0,6.0,King,7,Renton-FedWay-Kent
31.0,21.0,6.0,King,5,West-South Seattle
32.0,22.0,6.0,King,7,Renton-FedWay-Kent
33.0,21.0,6.0,King,5,West-South Seattle
34.0,22.0,6.0,King,7,Renton-FedWay-Kent
35.0,22.0,6.0,King,7,Renton-FedWay-Kent
36.0,23.0,5.0,King,7,Renton-FedWay-Kent
37.0,23.0,5.0,King,7,Renton-FedWay-Kent
38.0,23.0,5.0,King,7,Renton-FedWay-Kent
39.0,22.0,6.0,King,7,Renton-FedWay-Kent
40.0,22.0,6.0,King,7,Renton-FedWay-Kent
41.0,22.0,6.0,King,7,Renton-FedWay-Kent
42.0,22.0,6.0,King,7,Renton-FedWay-Kent
43.0,22.0,6.0,King,7,Renton-FedWay-Kent
44.0,22.0,6.0,King,7,Renton-FedWay-Kent
45.0,22.0,6.0,King,7,Renton-FedWay-Kent
46.0,22.0,6.0,King,7,Renton-FedWay-Kent
47.0,22.0,6.0,King,7,Renton-FedWay-Kent
48.0,22.0,6.0,King,7,Renton-FedWay-Kent
49.0,22.0,6.0,King,7,Renton-FedWay-Kent
50.0,22.0,6.0,King,7,Renton-FedWay-Kent
51.0,22.0,6.0,King,7,Renton-FedWay-Kent
52.0,22.0,6.0,King,7,Renton-FedWay-Kent
53.0,22.0,6.0,King,7,Renton-FedWay-Kent
54.0,22.0,6.0,King,7,Renton-FedWay-Kent
55.0,22.0,6.0,King,7,Renton-FedWay-Kent
56.0,22.0,6.0,King,7,Renton-FedWay-Kent
57.0,22.0,6.0,King,7,Renton-FedWay-Kent
58.0,22.0,6.0,King,7,Renton-FedWay-Kent
59.0,22.0,6.0,King,7,Renton-FedWay-Kent
60.0,19.0,6.0,King,7,Renton-FedWay-Kent
61.0,23.0,5.0,King,7,Renton-FedWay-Kent
62.0,23.0,5.0,King,7,Renton-FedWay-Kent
63.0,23.0,6.0,King,7,Renton-FedWay-Kent
64.0,22.0,6.0,King,7,Renton-FedWay-Kent
65.0,22.0,6.0,King,7,Renton-FedWay-Kent
66.0,22.0,6.0,King,7,Renton-FedWay-Kent
67.0,22.0,6.0,King,7,Renton-FedWay-Kent
68.0,22.0,6.0,King,7,Renton-FedWay-Kent
69.0,22.0,6.0,King,7,Renton-FedWay-Kent
70.0,22.0,6.0,King,7,Renton-FedWay-Kent
71.0,22.0,6.0,King,7,Renton-FedWay-Kent
72.0,22.0,6.0,King,7,Renton-FedWay-Kent
73.0,22.0,6.0,King,7,Renton-FedWay-Kent
74.0,21.0,6.0,King,5,West-South Seattle
75.0,21.0,6.0,King,5,West-South Seattle
76.0,21.0,6.0,King,5,West-South Seattle
77.0,22.0,6.0,King,7,Renton-FedWay-Kent
