Screenline,new_type,AADT,Description
J,59,22232.21667,W of SR 509
K,61,30790.45,W of Des Moines Mem'l N of 176th
L,62,28231.81,W of 24th Ave S
M,63,109861.1933,W of SR 99
N,68,329527.5417,W of IH 5
O,69,5136.175,E of Des Moines Mem'l S of 188th
A,80,88338.21333,S of S 128th St
B,81,48532.53333,S of S 144th St
C,82,66919.50667,N of SEA Airport
D,83,240460.0733,N of S 160th St
E,84,84725.33,Expy/SR 99/Cargo N of S 170th St
F,85,412094.4608,S of SEA Airport
G,86,224119.0733,N of S 200th St
